City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
554,Westport,US,71.42,Clear,41.1415,-73.3579,The Westport Inn
557,Loiza,PR,82.4,Clouds,18.4313,-65.8802,Vacation Realty
558,Kampot,KH,78.85,Rain,10.6167,104.1833,Two Moons Hotel
561,Mapiripan,CO,76.39,Clear,2.8892,-72.1256,Monserrate
562,Namatanai,PG,84.69,Clouds,-3.6667,152.4333,Seagulls Inn Namatani
565,The Valley,AI,84.06,Clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
568,Pocatello,US,69.48,Clear,42.8713,-112.4455,TownePlace Suites by Marriott Pocatello
572,Aksu,CN,73.29,Clear,41.1231,80.2644,Pudong Holiday Hotel
574,Pandaria,IN,80.49,Clouds,22.2333,81.4167,Sonu Rajak
579,Palau,PW,80.56,Rain,7.503,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
580,Yarmouth,US,66.99,Clear,41.7057,-70.2286,Blue Rock Resort
582,Yumen,CN,73.72,Clouds,40.2833,97.2,
586,Pueblo Bello,CO,77.5,Clouds,8.2041,-76.526,
587,Biak,ID,83.28,Clouds,-0.9131,122.8766,Penginapan Kim
588,Dehloran,IR,78.85,Clear,32.6941,47.2679,کافه گیم استورم
591,Korla,CN,73.08,Clear,41.7597,86.1469,Gulisitan Hotel
592,Dingli,MT,73.81,Clear,35.8614,14.3822,The Xara Palace Relais & Chateaux
594,Udupi,IN,79.84,Clouds,13.35,74.75,Hotel Sri Krishna Residency
595,Pierre,US,68.92,Clear,44.3683,-100.351,Ramkota Hotel
598,Le Port,RE,72.9,Clouds,-20.9373,55.2919,KORBEY D'OR OUEST
600,Sabha,LY,81.68,Clear,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
601,Kawalu,ID,78.76,Clouds,-7.3817,108.2082,West Jontor
602,Gizo,SB,83.14,Clouds,-8.103,156.8419,Imagination Island
607,Nouadhibou,MR,75.18,Clouds,20.931,-17.0347,El Medina
608,Tshikapa,CD,70.05,Clouds,-6.4167,20.8,Tatem beach
614,Araioses,BR,77.7,Clear,-2.89,-41.9031,Pousada Vale do Magú
615,Maragogi,BR,73.13,Clear,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
617,Mafinga,TZ,65.89,Clear,-7.25,35.0667,
618,Nantucket,US,66.99,Clear,41.2835,-70.0995,Jared Coffin House
619,Anahuac,MX,74.68,Clouds,27.2333,-100.15,HOTEL SAN FELIPE
626,Sao Gabriel Da Cachoeira,BR,73.96,Clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
627,Mahibadhoo,MV,83.07,Clouds,3.7833,72.9667,Omadhoo Inn
628,Benguela,AO,70.03,Clouds,-12.5763,13.4055,Hotel Praia Morena
630,Ambovombe,MG,69.44,Clear,-25.1667,46.0833,RELAHARA
631,High Rock,BS,75.22,Rain,26.6208,-78.2833,Hideaway Bahamas Beach Club
634,Big Spring,US,74.23,Clear,32.2504,-101.4787,Hampton Inn & Suites Big Spring
635,Careiro Da Varzea,BR,84.83,Clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
637,Cam Ranh,VN,84.16,Clouds,11.9214,109.1591,OYO 598 Peony Hotel
638,Yeppoon,AU,82.18,Clear,-23.1333,150.7333,Villa Mar Colina
640,Bang Saphan,TH,84.7,Clouds,11.2126,99.5117,Ladawan Boutique Hotel
641,Sebring,US,76.89,Clear,27.4956,-81.4409,La Quinta Inn & Suites by Wyndham Sebring
645,Oussouye,SN,76.87,Rain,12.485,-16.5469,Auberge du Routard
646,Kalmunai,LK,83.43,Clouds,7.4167,81.8167,VS Villa
649,Homestead,US,76.01,Rain,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
650,Santa Cruz De La Palma,ES,70.14,Clouds,28.6835,-17.7642,H10 Taburiente Playa
651,Luau,AO,69.4,Clouds,-10.7073,22.2247,Kimbo Hotel
652,Tiarei,PF,84.22,Clear,-17.5333,-149.3333,Le Rocher de Tahiti
653,Beinamar,TD,69.96,Rain,8.6698,15.3813,
659,Byron Bay,AU,78.71,Clouds,-28.65,153.6167,Backpackers Inn
660,Asyut,EG,84.7,Clear,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
667,Tianpeng,CN,66.67,Clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
672,Green River,US,72.0,Clear,41.5286,-109.4662,Hampton Inn & Suites Green River
673,Ajdabiya,LY,75.97,Clear,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
677,Xai-Xai,MZ,68.56,Clear,-25.0519,33.6442,Complexo da Familia
678,Ambilobe,MG,65.84,Clear,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
679,Mae Sai,TH,82.31,Clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
680,Raga,SS,68.43,Clouds,8.4596,25.678,
681,Morondava,MG,71.83,Clear,-20.2833,44.2833,La Case Bambou
682,Puerto Escondido,MX,79.12,Clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
683,Zemio,CF,66.87,Rain,5.0314,25.1361,OCHA Office
685,Trinidad,BO,75.34,Clouds,-14.8333,-64.9,Hotel Piesta
689,Pangai,TO,78.91,Clouds,-19.8,-174.35,Ha'apai Beach Resort
690,Kazuno,JP,70.84,Clouds,40.1836,140.7872,Anbe
691,Luganville,VU,84.69,Clouds,-15.5333,167.1667,The Espiritu Hotel
693,Abonnema,NG,73.69,Clouds,4.7084,6.7931,Corper's Lodge Obonoma
694,Mackay,AU,83.68,Clear,-21.15,149.2,International Lodge Motel
