City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,College,US,2022-09-22 01:30:41,64.8569,-147.8028,45.59,80,75,4.61
192,San Cristobal,VE,2022-09-22 01:30:41,7.7669,-72.225,69.98,96,100,1.45
193,Fleet,GB,2022-09-22 01:30:41,51.2833,-0.8333,54.79,73,0,1.14
194,Yar-Sale,RU,2022-09-22 01:30:42,66.8333,70.8333,37.42,76,87,26.08
195,Chokurdakh,RU,2022-09-22 01:30:42,70.6333,147.9167,35.15,94,100,9.17
196,Lavrentiya,RU,2022-09-22 01:30:42,65.5833,-171.0,40.71,97,100,25.81
197,Wiarton,CA,2022-09-22 01:30:42,44.7407,-81.1332,64.4,72,20,9.22
198,Izmit,TR,2022-09-22 01:30:43,40.7669,29.9169,57.18,94,75,4.61
199,Bichura,RU,2022-09-22 01:30:44,50.5881,107.6022,41.13,59,27,6.15
200,Richards Bay,ZA,2022-09-22 01:30:44,-28.783,32.0377,59.36,84,2,4.45
201,Vanimo,PG,2022-09-22 01:30:44,-2.6741,141.3028,86.47,63,62,3.31
202,Baijiantan,CN,2022-09-22 01:30:45,45.6333,85.1833,72.72,17,63,3.18
203,Mayumba,GA,2022-09-22 01:30:45,-3.432,10.6554,74.21,90,91,5.3
204,Xuddur,SO,2022-09-22 01:30:45,4.1213,43.8894,71.64,83,24,15.21
205,Tomatlan,MX,2022-09-22 01:30:45,19.9333,-105.25,74.55,95,100,3.33
206,Cervo,ES,2022-09-22 01:30:46,43.6702,-7.4101,60.85,81,37,10.8
207,Hinton,CA,2022-09-22 01:30:46,53.4001,-117.5857,53.94,54,0,3.09
208,Lebu,CL,2022-09-22 01:30:46,-37.6167,-73.65,48.09,83,99,6.29
209,Tres Coracoes,BR,2022-09-22 01:30:47,-21.6969,-45.2533,66.63,79,100,3.6
210,Jinsha,CN,2022-09-22 01:30:47,32.0898,121.0735,77.0,73,62,6.33
211,Marzuq,YE,2022-09-22 01:30:47,14.4,46.4667,77.11,53,43,3.8
212,Rawson,AR,2022-09-22 01:30:48,-43.3002,-65.1023,45.77,90,10,8.63
213,Nisia Floresta,BR,2022-09-22 01:30:48,-6.0911,-35.2086,80.98,90,11,6.51
214,Skibbereen,IE,2022-09-22 01:30:48,51.55,-9.2667,60.58,94,100,16.87
215,Akureyri,IS,2022-09-22 01:30:49,65.6835,-18.0878,46.33,93,0,1.14
216,Kiruna,SE,2022-09-22 01:30:49,67.8557,20.2251,38.32,93,75,3.44
217,Dikson,RU,2022-09-22 01:30:50,73.5069,80.5464,26.92,91,100,26.06
218,Oranjemund,NA,2022-09-22 01:30:50,-28.55,16.4333,54.48,81,0,2.26
219,Zhicheng,CN,2022-09-22 01:30:50,30.2956,111.5047,74.66,67,51,1.14
220,Balkanabat,TM,2022-09-22 01:27:42,39.5108,54.3671,81.57,16,0,8.97
221,Atherton,GB,2022-09-22 01:30:51,53.5237,-2.4935,56.75,85,100,1.01
222,Ulladulla,AU,2022-09-22 01:30:51,-35.35,150.4667,61.11,82,100,4.88
223,Turayf,SA,2022-09-22 01:30:51,31.6725,38.6637,62.85,88,0,5.75
224,Coahuayana,MX,2022-09-22 01:30:52,18.7333,-103.6833,75.94,94,100,1.45
225,Huarmey,PE,2022-09-22 01:30:52,-10.0681,-78.1522,62.06,86,81,9.33
226,Rajula,IN,2022-09-22 01:30:52,21.05,71.4333,74.88,88,19,7.9
227,Inirida,CO,2022-09-22 01:26:33,3.8653,-67.9239,70.38,98,96,2.84
228,Wageningen,NL,2022-09-22 01:30:53,51.9667,5.6667,47.95,90,6,2.3
229,Nguru,NG,2022-09-22 01:31:53,12.8791,10.4526,79.63,62,6,5.37
230,Yellowknife,CA,2022-09-22 01:31:53,62.456,-114.3525,55.92,71,75,8.05
231,Monrovia,LR,2022-09-22 01:31:00,6.3005,-10.7969,74.95,90,87,5.57
